equiclass,vocabulary
0,0
1,00
2,000
3,0001
4,001
5,002
6,003
7,007
8,009
9,01
10,011
11,012
12,02
13,03
14,04
15,05
16,06
17,07
18,08
19,09
20,0_s
21,0e
22,0k
23,0l
24,1
25,10
26,100
27,1000
28,1006
29,100nm
30,101
31,102
32,1020
33,1024
34,103
35,104
36,104e
37,105
38,1050
39,106
40,1064
41,1068
42,107
43,108
44,109
45,10a
46,10b
47,10be
48,10gb
49,10th
50,11
51,110
52,1100
53,111
54,112
55,113
56,114
57,1149
58,115
59,116
60,116cd
61,117
62,118
63,119
64,11a
65,11b
66,11c
67,11e
68,11n
69,11th
70,12
71,120
72,1200
73,121
74,122
75,123
76,1232
77,123i
78,124
79,125
80,125i
81,126
82,1260
83,127
84,1270
85,128
86,129
87,129xe
88,12c
89,12th
90,13
91,130
92,1300
93,130nm
94,131
95,132
96,133
97,134
98,135
99,136
100,137
101,137cs
102,138
103,139
104,1394
105,13c
106,13th
107,14
108,140
109,141
110,142
111,143
112,144
113,145
114,146
115,147
116,148
117,14b
118,14c
119,14n
120,14th
121,15
122,150
123,1500
124,151
125,152
126,1520
127,153
128,154
129,155
130,1550
131,156
132,157
133,158
134,15cuo4
135,15n
136,15th
137,16
138,160
139,1600
140,161
141,162
142,163
143,164
144,165
145,166
146,167
147,168
148,169
149,16e
150,16j
151,16o
152,16s
153,16th
154,17
155,170
156,1700
157,171
158,172
159,173
160,174
161,175
162,1750
163,1758
164,176
165,177
166,178
167,1789
168,1790
169,17o
170,17th
171,18
172,180
173,1800
174,181
175,182
176,1820
177,183
178,1830
179,184
180,185
181,1850
182,1851
183,186
184,1860
185,1861
186,1865
187,187
188,1870
189,1875
190,188
191,1880
192,1889
193,189
194,1890
195,18f
196,18o
197,18s
198,18th
199,19
200,190
201,1900
202,1901
203,1902
204,1903
205,1904
206,1905
207,1906
208,1907
209,1908
210,191
211,1910
212,1911
213,1912
214,1913
215,1914
216,1915
217,1916
218,1918
219,1919
220,192
221,1920
222,1920s
223,1921
224,1922
225,1923
226,1925
227,1926
228,1927
229,1928
230,1929
231,193
232,1930
233,1930s
234,1931
235,1932
236,1933
237,1934
238,1935
239,1936
240,1937
241,1938
242,1939
243,1940
244,1941
245,1942
246,1944
247,1945
248,1946
249,1947
250,1948
251,1949
252,195
253,1950
254,1950s
255,1951
256,1952
257,1953
258,1954
259,1955
260,1956
261,1957
262,1958
263,1959
264,196
265,1960
266,1960s
267,1961
268,1962
269,1963
270,1964
271,1965
272,1966
273,1967
274,1968
275,1969
276,197
277,1970
278,1970s
279,1971
280,1972
281,1973
282,1974
283,1975
284,1976
285,1977
286,1978
287,1979
288,197au
289,198
290,1980
291,1980s
292,1981
293,1982
294,1983
295,1984
296,1985
297,1986
298,1987
299,1987a
300,1988
301,1989
302,199
303,1990
304,1990s
305,1991
306,1992
307,1993
308,1994
309,1995
310,1996
311,1997
312,1998
313,1999
314,19f
315,19th
316,1a
317,1a1
318,1alpha
319,1b
320,1c
321,1d
322,1es
323,1h
324,1m
325,1mo
326,1p
327,1p36
328,1r
329,1s
330,1sigma
331,1st
332,1t
333,1v
334,1x
335,2
336,20
337,200
338,2000
339,2000s
340,2001
341,2002
342,2003
343,2004
344,2005
345,2006
346,2007
347,2008
348,2009
349,200gev
350,201
351,2010
352,2011
353,2012
354,2015
355,202
356,2020
357,2024
358,2025
359,203
360,2030
361,204
362,205
363,2050
364,206
365,207
366,208
367,208pb
368,209
369,209458b
370,20th
